"input_names","Common_Name","Taxa","Binomial","class","order","family"
"Calcinus Tibicens","Red leg hermit crab",NA,"Calcinus tibicen","Malacostraca","Decapoda","Diogenidae"
"Cardinal japonica","Amano shrimp","Invertebrate","Caridina multidentata","Malacostraca","Decapoda","Atyidae"
"Castanea turbo","Chestnut turbo","Invertebrate","Turbo castanea","Gastropoda","Trochida","Turbinidae"
"Castanea turbo","Chesnut turbo",NA,"Turbo castanea","Gastropoda","Trochida","Turbinidae"
"Catherines perdalis","Honeycomb Filefish",NA,"Cantherhines pardalis","Actinopterygii","Tetraodontiformes","Monacanthidae"
"Cement base soft coral","Cultured soft coral: cement base soft coral",NA,NA,NA,NA,NA
"Centrstephanus L","Sea urchin",NA,"Centrostephanus longispinus","Echinoidea","Diadematoida","Diadematidae"
"Chaetodon Kleini","Sunburst",NA,"Chaetodon kleinii","Actinopterygii","Acanthuriformes","Chaetodontidae"
"Chaetostoma wuchereri","Spotted rubberlip","Fish","Chaetostoma","Actinopterygii","Siluriformes","Loricariidae"
"Chaetostoma wuchereri","Spotted rubberlip",NA,"Chaetostoma","Actinopterygii","Siluriformes","Loricariidae"
"Chatodontoplus mesoleu","Vermiculated angel",NA,"Chaetodontoplus mesoleucus","Actinopterygii","Acanthuriformes","Pomacanthidae"
"Chromis bimaculatus","Two Spot Wrasser","Fish","Hemichromis bimaculatus","Actinopterygii","Cichliformes","Cichlidae"
"Chromis Dimidiatus","Chromis Half Half","Fish","Pycnochromis margaritifer","Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
"Chromis Dimidiatus","Chromis half half","Fish","Pycnochromis margaritifer","Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
"Chromis restrofasciata","Black bar chromis","Fish","Pycnochromis retrofasciatus","Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
"Chromis restrofasciata","Black bar chromis",NA,"Pycnochromis retrofasciatus","Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
"Chromis restrofasciata","Black Bar Chromis","Fish","Pycnochromis retrofasciatus","Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
"Cinhilahiris rubriventralis","Long fin fairy wrasse","Fish","Cirrhilabrus rubriventralis","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Cinhilahiris rubriventralis","Long fin fairy wrasse",NA,"Cirrhilabrus rubriventralis","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Cinhilahiris rubriventralis","Long Fin Fairy Wrasse","Fish","Cirrhilabrus rubriventralis","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Cinochaelus strigosus","Spotted Bristletooth","Fish","Ctenochaetus strigosus","Actinopterygii","Acanthuriformes","Acanthuridae"
"Cinochaelus strigosus","Yellow Spotted Bristletooth","Fish","Ctenochaetus strigosus","Actinopterygii","Acanthuriformes","Acanthuridae"
"Cinochaelus strigosus","Spotted bristletooth","Fish","Ctenochaetus strigosus","Actinopterygii","Acanthuriformes","Acanthuridae"
"Cirilabrus exquistus","Exquisite Fairy Wrasse","Fish","Cirrhilabrus exquisitus","Actinopterygii","Eupercaria incertae sedis","Labridae"
"CIrrhitus pinnulatis","Marbled hawkfish","Fish","Cirrhitus pinnulatus","Actinopterygii","Centrarchiformes","Cirrhitidae"
"Clininareus","Hermit Crab",NA,"Clibanrius","Malacostraca","Decapoda","Diogenidae"
"Condactylus","Condylactus Anemone",NA,"Condylactis","Hexacorallia","Actiniaria","Actiniidae"
"Coprinellus micaceus","Brown Oval Giant Mushroom","Invertebrate",NA,NA,NA,NA
"Coralimorpharia","Pink spot coralimorphs","Invertebrate",NA,"Hexacorallia","Corallimorpharia",NA
"Coralimorpharia","Red coralimorph","Invertebrate",NA,"Hexacorallia","Corallimorpharia",NA
"Coralimorpharia","Purple coralimorphs","Invertebrate",NA,"Hexacorallia","Corallimorpharia",NA
"Coralimorpharia","Green coralimorphs","Invertebrate",NA,"Hexacorallia","Corallimorpharia",NA
"Coralimorpharia","Assorted coralimorphs","Invertebrate",NA,"Hexacorallia","Corallimorpharia",NA
"Coris antennuatus","Diamond Tail Wrasser","Fish","Paracheilinus attenuatus","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Cryptocenrus Cinctus","Yellow prawn shrimp goby",NA,"Cryptocentrus cinctus","Actinopterygii","Gobiiformes","Gobiidae"
"Cryptocenus aurora","Pinkbar goby","Fish","Amblyeleotris aurora","Actinopterygii","Gobiiformes","Gobiidae"
"Cryptocenus aurora","Pinkbar Goby","Fish","Amblyeleotris aurora","Actinopterygii","Gobiiformes","Gobiidae"
"Dascylius immacuulatus","Threespot demoiselle",NA,"Dascyllus trimaculatus","Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
"Dascyllus chromis","Chromis","Fish",NA,"Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
"Dendronephyta","Pink carnation",NA,"Dendronephthya","Octocorallia","Malacalcyonacea","Nephtheidae"
"Dendronephyta",NA,NA,"Dendronephthya","Octocorallia","Malacalcyonacea","Nephtheidae"
"Dendronephyta","Red soft coral",NA,"Dendronephthya","Octocorallia","Malacalcyonacea","Nephtheidae"
"Diadema urchin",NA,NA,"Didema","Echinoidea","Diadematoida","Diadematidae"
"Diadema urchin sp.","Long spine urchin",NA,"Didema","Echinoidea","Diadematoida","Diadematidae"
"Discocoma sanctithornae","Warty mushroom",NA,"Rhodactis osculifera","Hexacorallia","Corallimorpharia","Discosomidae"
"Discocoma sp - yuma","Mushroom coral assorted",NA,"Ricordea yuma","Hexacorallia","Corallimorpharia","Ricordeidae"
"Discosoma cardinalis","Bright Red Mushoom (cultured)","Coral","Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Discosoma mutabilis","Green Spotted Mushroom (cultured)","Coral","Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Discosoma sanotthomae","Warty discosoma mushroom",NA,"Rhodactis osculifera","Hexacorallia","Corallimorpharia","Discosomidae"
"Discosoma spizoantho","Marble diso mushroom & button polyps",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Discosoma spyzganthid","Marble disc musroom button polyps",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Discosoma/rhodactis/ricodea","Assorted mushroom",NA,NA,"Hexacorallia","Corallimorpharia",NA
"Dorychampus dactiliophorus","Banded pipefish","Fish","Dunckerocampus dactyliophorus","Actinopterygii","Syngnathiformes","Syngnathidae"
"Dorychampus dactiliophorus","Banded pipefish",NA,"Dunckerocampus dactyliophorus","Actinopterygii","Syngnathiformes","Syngnathidae"
"Dorychampus multiannulatus","Red banded pipe fish","Fish","Dunckerocampus multiannulatus","Actinopterygii","Syngnathiformes","Syngnathidae"
"Doryhanphus multiannulatus","Many band pipe",NA,"Dunckerocampus multiannulatus","Actinopterygii","Syngnathiformes","Syngnathidae"
"Doryrhamthus dactyliopharus","Banded pipefish",NA,"Dunckerocampus dactyliophorus","Actinopterygii","Syngnathiformes","Syngnathidae"
"Doryyhamphus dactyliophor","Pipefish Banded","Fish","Dunckerocampus dactyliophorus","Actinopterygii","Syngnathiformes","Syngnathidae"
"Dunckererocampus dactylioph","Red banded pipefish",NA,"Dunckerocampus dactyliophorus","Actinopterygii","Syngnathiformes","Syngnathidae"
"Echinodermata","Purple sea urchin","Echinoderm",NA,"Echinoidea",NA,NA
"Echinodermata","Red sea urchin",NA,NA,"Echinoidea",NA,NA
